epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,21580.3,1.44816,1.25171,1.40421,0.61062,0.54479,0.558,0.26518,1.81107,1.48742,1.74043,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,21927.8,1.43414,1.22477,1.3893,0.61529,0.53501,0.55933,0.26477,1.81259,1.4818,1.7411,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,22275.2,1.43237,1.22111,1.39396,0.60798,0.53539,0.55131,0.26305,1.82577,1.4795,1.75725,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,22622.1,1.416,1.21379,1.38592,0.61792,0.53196,0.55527,0.26323,1.83975,1.48326,1.76958,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,22970.2,1.409,1.18601,1.37787,0.60816,0.53572,0.55607,0.26155,1.85075,1.49459,1.78037,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,23318,1.38764,1.16921,1.36555,0.61659,0.5346,0.55676,0.26407,1.84144,1.48866,1.77246,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,23665.7,1.39268,1.16358,1.36502,0.63715,0.51208,0.55611,0.26407,1.84458,1.48059,1.77408,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,24012.9,1.38602,1.15542,1.36155,0.63055,0.53794,0.56381,0.26841,1.84114,1.46871,1.77393,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,24360.1,1.36942,1.14249,1.34915,0.63537,0.52806,0.56119,0.26546,1.85209,1.47892,1.78029,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,24707.1,1.37184,1.11717,1.34938,0.6352,0.53428,0.56369,0.26513,1.85923,1.48455,1.79645,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,25055,1.35134,1.10786,1.33724,0.64645,0.53039,0.56007,0.2638,1.85836,1.48405,1.79562,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,25402.6,1.33465,1.09078,1.32373,0.62661,0.54217,0.5576,0.26371,1.86545,1.47957,1.80355,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,25750,1.3393,1.095,1.33372,0.61192,0.55129,0.55927,0.26223,1.86952,1.48966,1.8079,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,26095.7,1.32347,1.06669,1.31544,0.62341,0.53419,0.5581,0.2617,1.87057,1.47959,1.80979,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,26442.4,1.31908,1.06009,1.31789,0.61601,0.53604,0.55476,0.26196,1.87577,1.4852,1.82099,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,26788.2,1.30295,1.04466,1.30772,0.61851,0.53913,0.55568,0.26348,1.88018,1.49431,1.82989,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,27135.3,1.29895,1.03242,1.30172,0.63725,0.53049,0.55388,0.26278,1.87804,1.50104,1.83141,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,27483.1,1.29122,1.0153,1.29516,0.64731,0.52801,0.55459,0.26132,1.88336,1.50677,1.83325,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,27830.7,1.27336,1.00871,1.28438,0.64214,0.52572,0.55215,0.25908,1.8957,1.51643,1.84728,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,28178,1.26393,0.99413,1.28067,0.61054,0.54015,0.55003,0.25807,1.90472,1.51813,1.86151,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,28525.3,1.27244,1.01368,1.27937,0.60927,0.54765,0.54886,0.25867,1.91269,1.51698,1.86642,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,28870.5,1.25433,0.98262,1.27369,0.64196,0.52674,0.54743,0.25921,1.90948,1.51374,1.862,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,29216.6,1.24301,0.97281,1.26712,0.61866,0.54764,0.54662,0.25815,1.90928,1.51856,1.86367,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,29562.8,1.23927,0.95573,1.26259,0.62846,0.53718,0.54662,0.25915,1.91405,1.51879,1.87166,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,29909.3,1.22571,0.94863,1.25586,0.63335,0.53144,0.54705,0.25962,1.91558,1.52254,1.87688,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,30255.4,1.21597,0.93652,1.24872,0.62878,0.54267,0.54982,0.25867,1.91947,1.52042,1.88378,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,30602.2,1.19816,0.9176,1.23534,0.61058,0.55247,0.54839,0.25807,1.92597,1.5184,1.89342,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,30949.1,1.20084,0.91899,1.2379,0.61869,0.5479,0.54695,0.25731,1.92804,1.51663,1.89607,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
